Timestamp,Frame#,InferenceTime(ms),Flood_Lat,Flood_Lon
2025-10-28 11:36:22,196,11.27,12.97159,77.59459
2025-10-28 11:36:22,197,11.25,12.97159,77.59459
2025-10-28 11:36:22,198,11.24,12.97159,77.59459
2025-10-28 11:36:22,199,11.83,12.97159,77.59459
2025-10-28 11:36:22,200,11.62,12.97159,77.59459
2025-10-28 11:36:22,201,11.42,12.97159,77.59459
2025-10-28 11:36:22,202,11.40,12.97159,77.59459
2025-10-28 11:36:22,203,11.30,12.97159,77.59459
2025-10-28 11:36:22,204,11.36,12.97159,77.59459
2025-10-28 11:36:22,205,11.13,12.97159,77.59459
2025-10-28 11:36:22,206,11.42,12.97159,77.59459
2025-10-28 11:36:22,207,11.29,12.97159,77.59459
2025-10-28 11:36:22,208,11.46,12.97159,77.59459
2025-10-28 11:36:22,209,11.46,12.97159,77.59459
2025-10-28 11:36:22,210,11.31,12.97159,77.59459
2025-10-28 11:36:22,211,11.35,12.97159,77.59459
2025-10-28 11:36:22,212,11.49,12.97159,77.59459
2025-10-28 11:36:22,213,11.56,12.97159,77.59459
2025-10-28 11:36:22,214,11.47,12.97159,77.59459
2025-10-28 11:36:22,215,11.18,12.97159,77.59459
2025-10-28 11:36:22,216,11.32,12.97159,77.59459
2025-10-28 11:36:22,217,11.32,12.97159,77.59459
2025-10-28 11:36:22,218,11.29,12.97159,77.59459
2025-10-28 11:36:22,219,11.28,12.97159,77.59459
2025-10-28 11:36:22,220,11.33,12.97159,77.59459
2025-10-28 11:36:22,221,11.28,12.97159,77.59459
2025-10-28 11:36:22,222,11.46,12.97159,77.59459
2025-10-28 11:36:22,223,11.25,12.97159,77.59459
2025-10-28 11:36:22,224,11.57,12.97159,77.59459
2025-10-28 11:36:22,225,11.31,12.97159,77.59459
2025-10-28 11:36:22,226,11.31,12.97159,77.59459
2025-10-28 11:36:22,227,11.54,12.97159,77.59459
2025-10-28 11:36:22,228,11.30,12.97159,77.59459
2025-10-28 11:36:22,229,11.35,12.97159,77.59459
2025-10-28 11:36:22,230,11.31,12.97159,77.59459
2025-10-28 11:36:22,231,11.31,12.97159,77.59459
2025-10-28 11:36:23,232,11.39,12.97159,77.59459
2025-10-28 11:36:23,233,11.30,12.97159,77.59459
2025-10-28 11:36:23,234,11.31,12.97159,77.59459
2025-10-28 11:36:23,235,11.30,12.97159,77.59459
2025-10-28 11:36:23,236,11.28,12.97159,77.59459
2025-10-28 11:36:23,237,11.44,12.97159,77.59459
2025-10-28 11:36:23,238,11.48,12.97159,77.59459
2025-10-28 11:36:23,239,11.49,12.97159,77.59459
2025-10-28 11:36:23,240,11.05,12.97159,77.59459
2025-10-28 11:36:23,241,11.29,12.97159,77.59459
2025-10-28 11:36:23,242,11.35,12.97159,77.59459
2025-10-28 11:36:23,243,11.29,12.97159,77.59459
2025-10-28 11:36:23,244,11.30,12.97159,77.59459
2025-10-28 11:36:23,245,11.32,12.97159,77.59459
2025-10-28 11:36:23,246,11.27,12.97159,77.59459
2025-10-28 11:36:23,247,11.27,12.97159,77.59459
2025-10-28 11:36:23,248,11.50,12.97159,77.59459
2025-10-28 11:36:23,249,11.28,12.97159,77.59459
2025-10-28 11:36:23,250,11.22,12.97159,77.59459
2025-10-28 11:36:23,251,11.45,12.97159,77.59459
2025-10-28 11:36:23,252,11.34,12.97159,77.59459
2025-10-28 11:36:23,253,11.46,12.97241,77.59459
2025-10-28 11:36:23,254,11.24,12.97247,77.59459
2025-10-28 11:36:23,255,11.16,12.97246,77.59459
2025-10-28 11:36:23,256,11.20,12.97239,77.59459
2025-10-28 11:36:23,257,11.33,12.97244,77.59459
2025-10-28 11:36:23,258,11.33,12.97244,77.59459
2025-10-28 11:36:23,259,11.22,12.97241,77.59459
2025-10-28 11:36:23,260,11.20,12.97239,77.59459
2025-10-28 11:36:23,261,11.24,12.97159,77.59459
2025-10-28 11:36:23,262,11.09,12.97243,77.59459
2025-10-28 11:36:23,263,11.08,12.97241,77.59459
2025-10-28 11:36:23,264,13.11,12.97239,77.59459
2025-10-28 11:36:23,265,11.22,12.97237,77.59459
2025-10-28 11:36:23,266,11.29,12.97238,77.59459
2025-10-28 11:36:23,267,11.31,12.97244,77.59459
2025-10-28 11:36:23,268,11.30,12.97243,77.59459
2025-10-28 11:36:23,269,11.11,12.97244,77.59459
2025-10-28 11:36:23,270,11.16,12.97245,77.59459
2025-10-28 11:36:23,271,11.11,12.97246,77.59459
2025-10-28 11:36:24,272,11.21,12.97246,77.59459
2025-10-28 11:36:24,273,11.16,12.97250,77.59459
2025-10-28 11:36:24,274,11.15,12.97246,77.59459
2025-10-28 11:36:24,275,11.26,12.97242,77.59459
2025-10-28 11:36:24,276,11.27,12.97250,77.59459
2025-10-28 11:36:24,277,11.25,12.97248,77.59459
2025-10-28 11:36:24,278,11.15,12.97252,77.59459
2025-10-28 11:36:24,279,11.10,12.97240,77.59459
2025-10-28 11:36:24,280,11.13,12.97244,77.59459
2025-10-28 11:36:24,281,11.24,12.97245,77.59459
2025-10-28 11:36:24,282,11.15,12.97254,77.59459
2025-10-28 11:36:24,283,11.20,12.97262,77.59459
2025-10-28 11:36:24,284,11.14,12.97264,77.59459
2025-10-28 11:36:24,285,11.17,12.97266,77.59459
2025-10-28 11:36:24,286,11.22,12.97270,77.59459
2025-10-28 11:36:24,287,11.20,12.97276,77.59459
2025-10-28 11:36:24,288,18.53,12.97265,77.59459
2025-10-28 11:36:24,289,11.23,12.97248,77.59459
2025-10-28 11:36:24,290,11.30,12.97226,77.59459
2025-10-28 11:36:24,291,11.24,12.97221,77.59459
2025-10-28 11:36:24,292,11.39,12.97221,77.59459
2025-10-28 11:36:24,293,11.66,12.97218,77.59459
2025-10-28 11:36:24,294,11.34,12.97215,77.59459
2025-10-28 11:36:24,295,11.31,12.97189,77.59459
2025-10-28 11:36:24,296,11.21,12.97190,77.59459
2025-10-28 11:36:24,297,11.34,12.97179,77.59459
2025-10-28 11:36:24,298,11.23,12.97210,77.59459
2025-10-28 11:36:24,299,11.35,12.97214,77.59459
2025-10-28 11:36:24,300,11.22,12.97199,77.59459
2025-10-28 11:36:24,301,11.24,12.97188,77.59459
2025-10-28 11:36:24,302,11.21,12.97159,77.59459
2025-10-28 11:36:24,303,11.06,12.97159,77.59459
2025-10-28 11:36:24,304,11.12,12.97195,77.59459
2025-10-28 11:36:24,305,11.12,12.97195,77.59459
2025-10-28 11:36:24,306,11.08,12.97172,77.59459
2025-10-28 11:36:24,307,11.08,12.97192,77.59459
2025-10-28 11:36:24,308,11.14,12.97194,77.59459
2025-10-28 11:36:24,309,11.21,12.97183,77.59459
2025-10-28 11:36:25,310,16.82,12.97183,77.59459
2025-10-28 11:36:25,311,11.11,12.97159,77.59459
2025-10-28 11:36:25,312,11.07,12.97159,77.59459
2025-10-28 11:36:25,313,10.98,12.97159,77.59459
2025-10-28 11:36:25,314,11.06,12.97175,77.59459
2025-10-28 11:36:25,315,11.73,12.97174,77.59459
2025-10-28 11:36:25,316,10.90,12.97159,77.59459
2025-10-28 11:36:25,317,10.88,12.97175,77.59459
2025-10-28 11:36:25,318,10.97,12.97172,77.59459
2025-10-28 11:36:25,319,10.93,12.97168,77.59459
2025-10-28 11:36:25,320,11.14,12.97167,77.59459
2025-10-28 11:36:25,321,10.94,12.97170,77.59459
2025-10-28 11:36:25,322,10.95,12.97172,77.59459
2025-10-28 11:36:25,323,10.96,12.97169,77.59459
2025-10-28 11:36:25,324,10.96,12.97159,77.59459
2025-10-28 11:36:25,325,11.22,12.97159,77.59459
2025-10-28 11:36:25,326,11.03,12.97159,77.59459
2025-10-28 11:36:25,327,11.00,12.97159,77.59459
2025-10-28 11:36:25,328,11.21,12.97172,77.59459
2025-10-28 11:36:25,329,10.98,12.97172,77.59459
2025-10-28 11:36:25,330,10.97,12.97175,77.59459
2025-10-28 11:36:25,331,11.26,12.97180,77.59459
2025-10-28 11:36:25,332,11.26,12.97182,77.59459
2025-10-28 11:36:25,333,19.05,12.97186,77.59459
2025-10-28 11:36:25,334,11.31,12.97191,77.59459
2025-10-28 11:36:25,335,11.14,12.97191,77.59459
2025-10-28 11:36:25,336,11.11,12.97191,77.59459
2025-10-28 11:36:25,337,11.12,12.97191,77.59459
2025-10-28 11:36:25,338,11.36,12.97192,77.59459
2025-10-28 11:36:25,339,11.15,12.97187,77.59459
2025-10-28 11:36:25,340,11.57,12.97194,77.59459
2025-10-28 11:36:25,341,11.40,12.97190,77.59459
2025-10-28 11:36:25,342,11.16,12.97188,77.59459
2025-10-28 11:36:25,343,11.08,12.97190,77.59459
2025-10-28 11:36:25,344,11.17,12.97188,77.59459
2025-10-28 11:36:25,345,11.11,12.97186,77.59459
2025-10-28 11:36:25,346,11.12,12.97177,77.59459
2025-10-28 11:36:25,347,11.12,12.97175,77.59459
2025-10-28 11:36:25,348,11.14,12.97175,77.59459
2025-10-28 11:36:25,349,11.09,12.97185,77.59459
2025-10-28 11:36:26,350,11.12,12.97193,77.59459
2025-10-28 11:36:26,351,11.11,12.97192,77.59459
2025-10-28 11:36:26,352,11.12,12.97188,77.59459
2025-10-28 11:36:26,353,11.14,12.97189,77.59459
2025-10-28 11:36:26,354,11.40,12.97191,77.59459
2025-10-28 11:36:26,355,11.35,12.97191,77.59459
2025-10-28 11:36:26,356,11.11,12.97174,77.59459
2025-10-28 11:36:26,357,11.13,12.97172,77.59459
2025-10-28 11:36:26,358,16.48,12.97178,77.59459
2025-10-28 11:36:26,359,11.15,12.97174,77.59459
2025-10-28 11:36:26,360,11.22,12.97167,77.59459
2025-10-28 11:36:26,361,11.15,12.97169,77.59459
2025-10-28 11:36:26,362,11.40,12.97171,77.59459
2025-10-28 11:36:26,363,11.30,12.97169,77.59459
2025-10-28 11:36:26,364,11.42,12.97170,77.59459
2025-10-28 11:36:26,365,11.16,12.97169,77.59459
2025-10-28 11:36:26,366,11.16,12.97169,77.59459
2025-10-28 11:36:26,367,11.36,12.97172,77.59459
2025-10-28 11:36:26,368,11.23,12.97173,77.59459
2025-10-28 11:36:26,369,11.19,12.97173,77.59459
2025-10-28 11:36:26,370,11.19,12.97172,77.59459
2025-10-28 11:36:26,371,11.14,12.97169,77.59459
2025-10-28 11:36:26,372,11.22,12.97169,77.59459
2025-10-28 11:36:26,373,11.13,12.97169,77.59459
2025-10-28 11:36:26,374,11.13,12.97159,77.59459
2025-10-28 11:36:26,375,11.41,12.97159,77.59459
2025-10-28 11:36:26,376,11.16,12.97159,77.59459
2025-10-28 11:36:26,377,11.14,12.97159,77.59459
2025-10-28 11:36:26,378,11.14,12.97159,77.59459
2025-10-28 11:36:26,379,11.38,12.97159,77.59459
2025-10-28 11:36:26,380,11.33,12.97159,77.59459
2025-10-28 11:36:26,381,11.16,12.97159,77.59459
2025-10-28 11:36:26,382,11.11,12.97159,77.59459
2025-10-28 11:36:26,383,13.43,12.97159,77.59459
2025-10-28 11:36:26,384,11.41,12.97168,77.59459
2025-10-28 11:36:26,385,11.51,12.97168,77.59459
2025-10-28 11:36:26,386,11.14,12.97176,77.59459
2025-10-28 11:36:26,387,11.20,12.97179,77.59459
2025-10-28 11:36:26,388,11.36,12.97174,77.59459
2025-10-28 11:36:26,389,11.17,12.97171,77.59459
2025-10-28 11:36:26,390,11.11,12.97171,77.59459
2025-10-28 11:36:27,391,11.45,12.97159,77.59459
2025-10-28 11:36:27,392,11.15,12.97159,77.59459
2025-10-28 11:36:27,393,11.35,12.97159,77.59459
2025-10-28 11:36:27,394,11.38,12.97167,77.59459
2025-10-28 11:36:27,395,11.40,12.97170,77.59459
2025-10-28 11:36:27,396,11.42,12.97174,77.59459
2025-10-28 11:36:27,397,11.36,12.97174,77.59459
2025-10-28 11:36:27,398,11.36,12.97173,77.59459
2025-10-28 11:36:27,399,11.17,12.97172,77.59459
2025-10-28 11:36:27,400,11.19,12.97159,77.59459
2025-10-28 11:36:27,401,11.13,12.97159,77.59459
2025-10-28 11:36:27,402,11.20,12.97159,77.59459
2025-10-28 11:36:27,403,11.13,12.97159,77.59459
2025-10-28 11:36:27,404,11.18,12.97159,77.59459
2025-10-28 11:36:27,405,11.22,12.97159,77.59459
2025-10-28 11:36:27,406,11.16,12.97159,77.59459
2025-10-28 11:36:27,407,11.11,12.97159,77.59459
2025-10-28 11:36:27,408,11.11,12.97167,77.59459
2025-10-28 11:36:27,409,11.23,12.97169,77.59459
2025-10-28 11:36:27,410,11.20,12.97171,77.59459
2025-10-28 11:36:27,411,11.17,12.97159,77.59459
2025-10-28 11:36:27,412,11.08,12.97159,77.59459
2025-10-28 11:36:27,413,11.46,12.97159,77.59459
2025-10-28 11:36:27,414,11.10,12.97159,77.59459
2025-10-28 11:36:27,415,11.15,12.97159,77.59459
2025-10-28 11:36:27,416,11.33,12.97159,77.59459
2025-10-28 11:36:27,417,11.47,12.97159,77.59459
2025-10-28 11:36:27,418,11.16,12.97159,77.59459
2025-10-28 11:36:27,419,11.10,12.97159,77.59459
2025-10-28 11:36:27,420,11.50,12.97159,77.59459
2025-10-28 11:36:27,421,11.52,12.97159,77.59459
2025-10-28 11:36:27,422,11.43,12.97159,77.59459
2025-10-28 11:36:27,423,11.46,12.97159,77.59459
2025-10-28 11:36:27,424,11.17,12.97159,77.59459
2025-10-28 11:36:27,425,11.14,12.97159,77.59459
2025-10-28 11:36:27,426,11.43,12.97159,77.59459
2025-10-28 11:36:27,427,11.20,12.97159,77.59459
2025-10-28 11:36:27,428,11.13,12.97159,77.59459
2025-10-28 11:36:27,429,11.29,12.97159,77.59459
2025-10-28 11:36:27,430,11.27,12.97159,77.59459
2025-10-28 11:36:27,431,11.16,12.97159,77.59459
2025-10-28 11:36:27,432,11.52,12.97159,77.59459
2025-10-28 11:36:27,433,11.47,12.97159,77.59459
