timestamp,fps,total_latency_ms,classification_ms,segmentation_ms,memory_mb,cpu_percent,flood_ratio
1779426920.0342207,1.99,472.19,130.83,200.74,633.68,40.0,0.3116
1779426920.558207,1.99,496.86,143.71,211.97,633.88,55.1,0.3116
1779426921.0855272,1.9,496.61,121.28,234.5,634.19,50.9,0.3116
1779426921.5939016,1.9,480.37,132.86,206.63,633.86,38.7,0.3116
1779426922.0993993,1.97,478.62,134.55,202.78,633.8,42.2,0.3116
1779426922.6116495,1.97,484.95,137.27,207.26,633.46,38.2,0.3116
1779426923.1123006,1.97,473.57,131.06,201.51,634.02,38.8,0.3116
1779426923.6302307,1.97,489.92,145.11,204.31,633.73,56.4,0.3116
1779426924.1368668,1.95,476.67,126.74,207.16,631.25,40.1,0.3116
1779506523.124119,1.98,467.7,133.1,193.55,636.69,38.1,0.3116
1779506523.6298869,2.0,476.5,131.86,204.5,636.33,38.9,0.3116
1779506524.1528811,2.0,495.67,149.23,205.77,636.44,52.4,0.3116
1779506524.6658876,1.93,484.41,132.01,204.66,636.59,40.9,0.3116
1779506525.188697,1.93,495.86,137.01,213.41,637.95,41.1,0.3116
1779507080.1734517,1.92,512.29,158.72,209.05,608.07,70.7,0.3116
1779507080.68799,1.9,486.19,122.01,223.48,608.29,56.5,0.3116
1779507081.2055984,1.9,484.66,138.87,203.38,608.35,55.8,0.3116
1779507081.726359,1.93,489.21,139.8,208.5,608.09,50.7,0.3116
1779507082.2396877,1.93,486.15,128.76,211.2,608.3,50.0,0.3116
1779507082.7608528,1.93,493.7,143.04,205.5,608.1,47.3,0.3116
1779507083.2723408,1.93,483.33,128.04,214.37,608.36,47.0,0.3116
1779507083.7924562,1.94,490.89,147.16,196.96,608.29,45.2,0.3116
1779507084.333161,1.94,513.35,170.39,202.0,608.27,60.7,0.3116
1779507084.8551686,1.88,488.78,133.43,214.76,608.02,50.7,0.3116
1779507085.408848,1.88,525.47,137.53,242.88,608.28,55.5,0.3116
1779507085.9125454,1.89,475.1,124.52,203.12,607.99,45.7,0.3116
1779507086.465678,1.89,525.08,150.14,234.4,607.98,59.0,0.3116
1779507086.9989061,1.84,504.54,144.32,219.57,608.21,69.3,0.3116
1779507087.5335586,1.84,500.77,133.09,218.84,608.33,50.5,0.3116
1779507088.0896554,1.83,527.49,177.46,208.78,608.27,59.8,0.3116
1779507088.583169,1.83,466.03,124.87,200.38,608.24,39.7,0.3116
1779507089.1094463,1.96,498.75,146.02,212.25,606.28,48.1,0.3116
1779507089.6190813,1.96,481.58,131.49,209.48,607.39,42.2,0.3116
1779507090.146086,1.93,498.96,170.48,187.35,608.58,57.5,0.3116
1779507090.6860616,1.93,512.4,152.26,219.41,607.82,50.4,0.3116
1779507091.2177033,1.87,499.26,153.53,205.37,608.1,43.2,0.3116
1779507091.7215042,1.87,473.08,129.22,203.15,608.05,40.4,0.3116
1779507092.2226496,1.99,473.03,134.99,196.98,608.2,50.0,0.3116
1779507092.7668655,1.99,514.42,140.72,225.57,607.73,52.3,0.3116
1779507093.2790487,1.89,482.67,140.1,201.32,608.15,50.5,0.3116
1779507093.7679088,1.89,458.58,129.34,188.26,608.27,47.6,0.3116
1779507094.2874136,1.98,488.69,134.1,214.28,608.23,46.9,0.3116
1779507094.8145616,1.98,499.74,144.51,209.55,608.08,62.7,0.3116
1779507095.3010473,1.97,459.06,132.09,186.61,608.23,55.0,0.3116
1779507095.8013,1.97,467.92,134.97,192.56,608.04,49.0,0.3116
1779507096.331234,1.94,502.29,144.72,210.12,607.86,45.7,0.3116
1779507096.8498607,1.94,490.96,146.76,203.42,608.23,50.5,0.3116
1779507097.3820548,1.9,499.26,149.15,209.5,607.92,52.1,0.3116
1779507097.8866658,1.9,476.64,130.7,204.44,608.02,51.0,0.3116
1779507098.403934,1.96,487.91,144.53,202.94,607.88,53.6,0.3116
1779507098.9146245,1.96,479.74,140.96,197.98,607.92,48.5,0.3116
1779507099.4311407,1.95,484.02,131.3,210.43,608.15,47.8,0.3116
1779507099.944142,1.95,486.01,141.06,203.75,608.06,49.3,0.3116
1779507100.4613233,1.94,486.75,136.25,210.12,607.96,49.3,0.3116
1779507100.96686,1.94,476.74,131.32,204.28,605.51,38.6,0.3116
1779507101.4966812,1.93,502.86,144.32,217.72,607.09,54.5,0.3116
1779507102.0073905,1.93,480.71,136.04,203.77,608.69,52.8,0.3116
1779507102.5499969,1.9,510.04,154.28,212.39,608.34,64.5,0.3116
1779507103.0518155,1.9,474.52,132.29,201.72,607.71,50.3,0.3116
1779507103.5981135,1.91,515.89,171.78,203.16,608.07,58.7,0.3116
1779507104.1841261,1.91,557.26,164.96,251.79,607.91,67.8,0.3116
1779507104.7299612,1.77,516.73,167.22,208.48,607.78,64.9,0.3116
1779507105.2247427,1.77,465.87,129.68,195.68,608.02,53.6,0.3116
1779507105.71406,1.77,459.96,127.4,192.13,607.7,56.0,0.3116
1779507106.254437,1.97,512.84,113.26,254.89,605.14,75.7,0.3116
1779507106.7839458,1.97,494.91,144.96,208.42,603.69,64.1,0.3116
1779507107.247522,1.97,435.55,105.75,189.26,603.56,47.3,0.3116
1779507107.7759829,1.97,501.35,126.83,233.93,603.99,55.0,0.3116
1779507108.3450954,1.97,540.03,180.74,213.35,603.93,52.8,0.3116
1779507108.854323,1.85,482.49,137.32,199.96,603.58,46.3,0.3116
1779507109.3615017,1.85,480.78,135.71,204.57,604.12,41.5,0.3116
1779507109.8417861,1.85,452.92,121.88,190.53,604.03,46.0,0.3116
1779507110.3480673,2.01,473.21,125.72,207.15,603.91,41.9,0.3116
1779507110.8569975,2.01,482.08,133.89,204.02,603.82,42.4,0.3116
1779507111.3569748,1.98,472.31,131.69,199.23,603.93,42.2,0.3116
1779507111.8520253,1.98,464.87,132.1,191.59,604.14,51.5,0.3116
1779507112.35293,1.98,472.82,133.76,197.83,603.73,44.8,0.3116
1779507112.8372312,2.03,457.2,135.97,180.23,603.63,44.3,0.3116
1779507113.3397896,2.03,473.68,129.15,204.36,603.34,43.8,0.3116
1779507113.858013,1.96,490.64,138.14,212.21,604.52,43.8,0.3116
1779507114.373101,1.96,487.97,134.3,213.09,604.29,43.8,0.3116
1779507114.9081612,1.9,506.26,148.31,217.07,603.6,44.4,0.3116
1779507115.4167821,1.9,481.36,133.22,207.39,603.28,42.0,0.3116
1779507115.933006,1.95,488.95,135.59,211.94,603.2,48.3,0.3116
1779507116.4503,1.95,488.59,135.22,205.99,603.97,42.4,0.3116
1779507883.68888,1.96,483.62,142.29,199.38,620.32,42.9,0.3116
1779507884.1945965,1.96,474.57,132.03,201.76,620.55,43.9,0.3116
1779507884.7026381,1.97,478.28,132.0,205.39,620.29,41.7,0.3116
1779507885.208393,1.97,476.28,135.92,199.13,620.43,41.3,0.3116
1779507885.6943283,1.97,455.34,129.22,185.48,620.34,40.6,0.3116
1779507886.1875484,2.02,464.16,133.11,190.64,620.07,46.5,0.3116
1779507886.6839676,2.02,467.45,135.75,191.07,619.92,55.6,0.3116
1779507887.1988363,1.98,484.69,134.41,205.43,620.11,45.0,0.3116
1779507887.7045996,1.98,476.27,130.78,204.24,620.34,40.8,0.3116
1779507888.217106,1.96,483.31,135.19,206.11,620.27,45.3,0.3116
1779507888.726429,1.96,479.47,132.52,205.44,619.98,43.1,0.3116
